,content,id,lat,location,lon,time,user,user_id
24,"""See this is what I was afraid of Mike. HE CAN'T HIT unless it's an Arizona ball. Worst FA pick up ever."" - 🐀 https://t.co/pf0a1e6rhp",971525437238251520,,Other Location in MA,,2018-03-07 23:18:08,sarim0t0,196271860
240,@snipekerr Noted 😨,971525218178158592,,"Boston, MA",,2018-03-07 23:17:16,HeartEyes4Brady,119891888
241,@SecretMovesMMA I just google searched the Ortega-Frankie Eggs finish and https://t.co/KOfQG2Wjsp,971525215661576192,,"Boston, MA",,2018-03-07 23:17:16,JJWritesStuff,3450232522
242,RT @BarstoolBC: Hey @BarstoolPack https://t.co/n4JTS8dXLW,971525211618201600,,Other Location in US,,2018-03-07 23:17:15,77MMorais,3051186715
243,@JayMontega28k LMAOOO naw that’s facts tho,971525211400089600,,"Boston, MA",,2018-03-07 23:17:15,Mayberrykush,84959930
244,"@FuzzyProxy Maybe a crane or a heron, some understatedly elegant birds",971525210234085376,,"Boston, MA",,2018-03-07 23:17:14,Theofaux,18853307
246,@Fantasy_Mansion Ki Jana Carter drops to 2nd,971525208199847936,,"Boston, MA",,2018-03-07 23:17:14,cgifford300,882364861
248,"RT @Max_Lederman: Here is how the other 8 All-Star bigs fared when guarded by Al Horford this season...
Drummond: 9-13
Cousins: 0/2
Davis:…",971525205683154944,,Other Location,,2018-03-07 23:17:13,PaulHeadleyNBA,787809391886028800
25,I liked a @YouTube video https://t.co/AQxM0ti2EB Shootaround Preview: Magic (3/7/18),971525436453859328,,"Boston, MA",,2018-03-07 23:18:08,sweatboxprogram,106781614
250,@ImLordMA512 @In_A_YamChele Bet nigga,971525205309972480,,"Boston, MA",,2018-03-07 23:17:13,SoloChills,202415340
251,That first 2min alone. Why where’s the Oscar? 🧐,971525205087662080,,"Boston, MA",,2018-03-07 23:17:13,thereal_jwoww,625619420
252,When your online donut order is confirmed when you’re at the gym,971525205020565504,,"Boston, MA",,2018-03-07 23:17:13,andrujakez,276201199
255,@MonkipiQuinn Holy shit! That's huge! Congrats on those savings!,971525202956955648,,Other Location in MA,,2018-03-07 23:17:13,TirnanCP,66120841
257,My day was great until my ass does something weird &amp; ruins it,971525200872464384,,"Boston, MA",,2018-03-07 23:17:12,VanessaLeeRenta,2464152427
